table	guest_number	guest_type	dish	timestamp
23	7	woman	154	12:49:53.303811
23	7	woman	161	12:49:53.303860
23	7	woman	338	12:49:53.303964
23	8	woman	236	12:49:53.304021
23	8	woman	254	12:49:53.304083
23	8	woman	405	12:49:53.304220
23	9	woman	222	12:49:53.304284
23	9	woman	74	12:49:53.304336
24	1	woman	55	13:24:56.805174
24	1	woman	65	13:24:56.805313
24	2	man	203	13:24:56.805355
24	2	man	148	13:24:56.805377
24	2	man	108	13:24:56.805390
24	3	woman	148	13:24:56.805403
24	3	woman	168	13:24:56.805417
24	3	woman	322	13:24:56.805476
24	4	woman	57	13:24:56.805490
24	4	woman	57	13:24:56.805501
24	5	woman	210	13:24:56.805513
24	5	woman	157	13:24:56.805524
24	5	woman	136	13:24:56.805541
24	6	man	233	13:24:56.805555
24	6	man	254	13:24:56.805569
24	6	man	46	13:24:56.805612
25	1	man	175	14:00:00.806116
25	1	man	208	14:00:00.806241
25	1	man	16	14:00:00.806368
25	2	woman	161	14:00:00.806413
25	2	woman	143	14:00:00.806446
25	3	woman	223	14:00:00.806477
25	3	woman	73	14:00:00.806503
25	4	woman	65	14:00:00.806528
25	4	woman	260	14:00:00.806555
25	5	man	178	14:00:00.806582
25	5	man	204	14:00:00.806608
25	5	man	13	14:00:00.806660
25	6	woman	164	14:00:00.806696
25	6	woman	197	14:00:00.806727
25	6	woman	331	14:00:00.806807
25	7	man	234	14:00:00.806846
25	7	man	251	14:00:00.806875
25	7	man	100	14:00:00.806923
25	8	woman	147	14:00:00.806959
25	8	woman	157	14:00:00.806988
25	8	woman	294	14:00:00.807032
26	1	woman	65	14:01:08.773709
26	1	woman	68	14:01:08.773811
26	2	man	215	14:01:08.773836
26	2	man	195	14:01:08.773853
26	2	man	31	14:01:08.773914
26	3	woman	54	14:01:08.773933
26	3	woman	54	14:01:08.773944
26	4	man	214	14:01:08.773956
26	4	man	245	14:01:08.773971
26	4	man	102	14:01:08.773993
26	5	man	221	14:01:08.774007
26	5	man	250	14:01:08.774017
26	5	man	89	14:01:08.774037
26	6	man	239	14:01:08.774050
26	6	man	240	14:01:08.774061
26	6	man	109	14:01:08.774081
27	1	man	233	14:02:20.140419
27	1	man	257	14:02:20.140508
27	1	man	252	14:02:20.140530
27	2	woman	236	14:02:20.140549
27	2	woman	265	14:02:20.140561
27	2	woman	139	14:02:20.140586
28	1	man	231	14:03:32.228968
28	1	man	185	14:03:32.229202
28	1	man	99	14:03:32.229245
28	1	man	92	14:03:32.229270
28	2	man	221	14:03:32.229299
28	2	man	249	14:03:32.229324
28	2	man	289	14:03:32.229404
29	1	man	233	14:04:45.070250
29	1	man	257	14:04:45.070369
29	2	man	235	14:04:45.070399
29	2	man	192	14:04:45.070417
29	2	man	19	14:04:45.070430
29	3	man	234	14:04:45.070444
29	3	man	243	14:04:45.070467
29	3	man	98	14:04:45.070543
29	4	man	225	14:04:45.070565
29	4	man	240	14:04:45.070591
29	4	man	345	14:04:45.070663
29	5	man	223	14:04:45.070711
29	5	man	168	14:04:45.070733
29	5	man	110	14:04:45.070746
29	6	man	208	14:04:45.070763
29	6	man	148	14:04:45.070777
29	6	man	108	14:04:45.070789
29	7	man	224	14:04:45.070803
29	7	man	189	14:04:45.070817
29	7	man	96	14:04:45.070829
30	1	man	235	14:06:02.824056
30	1	man	256	14:06:02.824182
30	1	man	51	14:06:02.824296
30	2	man	223	14:06:02.824325
30	2	man	245	14:06:02.824347
30	2	man	79	14:06:02.824372
31	1	man	199	14:07:21.480419
31	1	man	30	14:07:21.480500
31	1	man	157	14:07:21.480522
31	2	woman	237	14:07:21.480539
31	2	woman	265	14:07:21.480552
31	2	woman	122	14:07:21.480572
32	1	man	195	14:08:41.058601
32	1	man	204	14:08:41.058697
32	1	man	6	14:08:41.058767
32	2	man	223	14:08:41.058784
32	2	man	162	14:08:41.058798
32	2	man	109	14:08:41.058809
33	1	woman	235	14:10:01.591421
33	1	woman	427	14:10:01.591555
33	1	woman	162	14:10:01.591580
33	2	man	234	14:10:01.591600
33	2	man	251	14:10:01.591616
33	2	man	103	14:10:01.591666
34	1	woman	146	14:11:23.125714
34	1	woman	158	14:11:23.125834
34	1	woman	399	14:11:23.125898
34	2	woman	205	14:11:23.125916
34	2	woman	161	14:11:23.125927
34	2	woman	116	14:11:23.125946
34	3	woman	117	14:11:23.125958
34	3	woman	287	14:11:23.125982
34	4	woman	58	14:11:23.125996
34	4	woman	55	14:11:23.126006
34	5	man	234	14:11:23.126019
34	5	man	264	14:11:23.126032
34	5	man	256	14:11:23.126047
34	6	man	218	14:11:23.126060
34	6	man	253	14:11:23.126071
34	6	man	76	14:11:23.126116
34	7	man	225	14:11:23.126130
34	7	man	184	14:11:23.126143
34	7	man	89	14:11:23.126154
35	1	woman	238	14:12:51.270572
35	1	woman	252	14:12:51.270674
35	1	woman	346	14:12:51.270749
35	2	woman	208	14:12:51.270774
35	2	woman	164	14:12:51.270793
35	2	woman	141	14:12:51.270815
35	3	man	223	14:12:51.270835
35	3	man	156	14:12:51.270850
35	3	man	109	14:12:51.270865
35	4	man	172	14:12:51.270883
35	4	man	203	14:12:51.270897
35	4	man	71	14:12:51.270952
35	5	woman	53	14:12:51.270968
35	5	woman	58	14:12:51.270982
35	6	man	237	14:12:51.270998
35	6	man	195	14:12:51.271014
35	6	man	18	14:12:51.271026
36	1	woman	205	14:14:25.905086
36	1	woman	193	14:14:25.905172
36	1	woman	417	14:14:25.905240
36	2	man	172	14:14:25.905262
36	2	man	208	14:14:25.905280
36	2	man	29	14:14:25.905328
36	3	man	234	14:14:25.905344
36	3	man	261	14:14:25.905358
36	3	man	242	14:14:25.905373
36	4	man	222	14:14:25.905388
36	4	man	252	14:14:25.905400
36	4	man	111	14:14:25.905426
36	5	man	224	14:14:25.905441
36	5	man	252	14:14:25.905455
36	5	man	413	14:14:25.905481
36	6	woman	222	14:14:25.905496
36	6	woman	74	14:14:25.905509
37	1	man	223	14:16:08.189439
37	1	man	158	14:16:08.189507
37	1	man	111	14:16:08.189525
37	2	man	237	14:16:08.189542
37	2	man	246	14:16:08.189554
37	2	man	27	14:16:08.189597
38	1	man	223	14:17:52.167960
38	1	man	160	14:17:52.168055
38	1	man	110	14:17:52.168074
39	1	man	236	14:19:36.146054
39	1	man	195	14:19:36.146144
39	1	man	18	14:19:36.146162
39	2	woman	150	14:19:36.146181
39	2	woman	160	14:19:36.146195
39	2	woman	374	14:19:36.146256
39	3	woman	235	14:19:36.146271
39	3	woman	265	14:19:36.146284
39	3	woman	130	14:19:36.146303
39	4	man	223	14:19:36.146317
39	4	man	250	14:19:36.146338
39	4	man	79	14:19:36.146350
39	5	woman	199	14:19:36.146363
39	5	woman	365	14:19:36.146384
39	6	man	222	14:19:36.146396
39	6	man	244	14:19:36.146407
39	6	man	79	14:19:36.146417
39	7	man	175	14:19:36.146430
39	7	man	207	14:19:36.146442
39	7	man	101	14:19:36.146488
39	8	man	229	14:19:36.146501
39	8	man	188	14:19:36.146513
39	8	man	104	14:19:36.146523
39	8	man	96	14:19:36.146533
39	9	woman	204	14:19:36.146545
39	9	woman	156	14:19:36.146555
39	9	woman	143	14:19:36.146567
39	10	man	234	14:19:36.146580
39	10	man	263	14:19:36.146591
39	10	man	241	14:19:36.146602
40	1	man	224	14:21:39.247040
40	1	man	191	14:21:39.247141
40	1	man	90	14:21:39.247166
40	2	man	219	14:21:39.247188
40	2	man	256	14:21:39.247207
40	2	man	319	14:21:39.247270
40	3	man	239	14:21:39.247289
40	3	man	202	14:21:39.247306
40	3	man	18	14:21:39.247321
40	4	man	213	14:21:39.247338
40	4	man	247	14:21:39.247352
40	4	man	110	14:21:39.247405
41	1	man	201	14:23:50.567916
41	1	man	204	14:23:50.568033
41	1	man	65	14:23:50.568103
41	2	man	234	14:23:50.568122
41	2	man	259	14:23:50.569091
41	2	man	242	14:23:50.569163
42	1	woman	161	14:26:04.956249
42	1	woman	276	14:26:04.956345
42	1	woman	126	14:26:04.956367
42	2	woman	236	14:26:04.956385
42	2	woman	392	14:26:04.956440
42	2	woman	164	14:26:04.956453
43	1	woman	206	14:28:22.635218
43	1	woman	193	14:28:22.635311
43	1	woman	303	14:28:22.635377
43	2	woman	236	14:28:22.635398
43	2	woman	247	14:28:22.635414
43	2	woman	385	14:28:22.635439
43	3	man	237	14:28:22.635455
43	3	man	192	14:28:22.635468
43	3	man	18	14:28:22.635482
43	4	woman	208	14:28:22.635498
43	4	woman	158	14:28:22.635513
43	4	woman	145	14:28:22.635534
44	1	man	233	14:30:51.488111
44	1	man	261	14:30:51.488256
45	1	woman	74	14:33:20.336950
45	1	woman	261	14:33:20.337078
45	2	woman	209	14:33:20.337109
45	2	woman	165	14:33:20.337130
45	2	woman	122	14:33:20.337154
45	3	man	194	14:33:20.337175
45	3	man	208	14:33:20.337189
45	3	man	62	14:33:20.337259
46	1	woman	53	14:35:58.220510
46	1	woman	74	14:35:58.220749
46	2	man	211	14:35:58.220797
46	2	man	201	14:35:58.220854
46	2	man	104	14:35:58.220969
46	3	woman	160	14:35:58.221019
46	3	woman	143	14:35:58.221072
46	4	child	458	14:35:58.221216
46	4	child	464	14:35:58.221262
46	4	child	469	14:35:58.221281
46	5	man	205	14:35:58.221304
46	5	man	148	14:35:58.221323
46	5	man	106	14:35:58.221338
46	6	woman	167	14:35:58.221355
46	6	woman	392	14:35:58.221429
46	7	man	222	14:35:58.221491
46	7	man	250	14:35:58.221530
46	7	man	77	14:35:58.221558
46	8	man	199	14:35:58.221587
46	8	man	208	14:35:58.221614
46	8	man	31	14:35:58.221673
47	1	woman	239	14:39:20.419755
47	1	woman	265	14:39:20.419857
47	1	woman	124	14:39:20.419896
47	2	woman	124	14:39:20.419918
47	2	woman	294	14:39:20.419989
48	1	man	208	14:42:51.442652
48	1	man	149	14:42:51.442738
48	1	man	106	14:42:51.442762
48	2	man	202	14:42:51.442786
48	2	man	30	14:42:51.442804
48	2	man	162	14:42:51.442824
48	3	man	179	14:42:51.442846
48	3	man	210	14:42:51.442863
48	3	man	4	14:42:51.442925
49	1	woman	168	14:46:43.637001
49	1	woman	140	14:46:43.637116
49	2	woman	74	14:46:43.637145
49	2	woman	71	14:46:43.637163
49	3	man	196	14:46:43.637184
49	3	man	210	14:46:43.637200
49	3	man	7	14:46:43.637269
49	4	man	224	14:46:43.637288
49	4	man	191	14:46:43.637304
49	4	man	97	14:46:43.637319
49	5	man	234	14:46:43.637337
49	5	man	264	14:46:43.637354
49	6	woman	157	14:46:43.637371
49	6	woman	278	14:46:43.637390
49	6	woman	122	14:46:43.637405
49	7	woman	239	14:46:43.637425
49	7	woman	330	14:46:43.637478
49	7	woman	165	14:46:43.637494
49	8	woman	171	14:46:43.637511
49	8	woman	57	14:46:43.637525
49	8	woman	121	14:46:43.637543
49	9	man	234	14:46:43.637561
49	9	man	261	14:46:43.637578
49	10	woman	236	14:46:43.637594
49	10	woman	250	14:46:43.637611
49	10	woman	307	14:46:43.637640
50	1	man	225	14:54:06.170315
50	1	man	189	14:54:06.170428
50	1	man	94	14:54:06.170460
50	2	man	234	14:54:06.170482
50	2	man	260	14:54:06.170502
50	2	man	248	14:54:06.170520
50	3	man	223	14:54:06.170537
50	3	man	242	14:54:06.170573
50	3	man	86	14:54:06.170647
50	4	woman	207	14:54:06.170667
50	4	woman	166	14:54:06.170684
50	4	woman	141	14:54:06.170706
50	5	man	233	14:54:06.170722
50	5	man	258	14:54:06.170736
51	1	woman	238	15:07:27.225351
51	1	woman	265	15:07:27.225458
51	1	woman	127	15:07:27.225488
51	2	man	202	15:07:27.225510
51	2	man	30	15:07:27.225527
51	2	man	163	15:07:27.225541
51	3	man	199	15:07:27.225554
51	3	man	208	15:07:27.225567
51	3	man	27	15:07:27.225624
51	4	man	219	15:07:27.225638
51	4	man	249	15:07:27.225651
51	4	man	324	15:07:27.225699
51	5	woman	125	15:07:27.225713
51	5	woman	135	15:07:27.225725
51	6	woman	53	15:07:27.225738
51	6	woman	67	15:07:27.225749
52	1	man	181	16:00:00.226629
52	1	man	203	16:00:00.226735
52	1	man	90	16:00:00.226811
52	2	child	446	16:00:00.226834
52	2	child	471	16:00:00.226851
52	3	man	237	16:00:00.226869
52	3	man	202	16:00:00.226884
52	3	man	18	16:00:00.226896
52	4	man	222	16:00:00.226914
52	4	man	248	16:00:00.226929
52	4	man	79	16:00:00.226941
52	5	woman	56	16:00:00.226956
52	5	woman	60	16:00:00.226969
52	6	man	222	16:00:00.226982
52	6	man	253	16:00:00.226995
52	6	man	1	16:00:00.227022
52	7	woman	58	16:00:00.227036
52	7	woman	67	16:00:00.227049
52	8	man	223	16:00:00.227062
52	8	man	246	16:00:00.227075
52	8	man	89	16:00:00.227101
52	9	woman	227	16:00:00.227117
52	9	woman	254	16:00:00.227130
52	9	woman	53	16:00:00.227141
52	10	man	234	16:00:00.227154
52	10	man	261	16:00:00.227168
52	10	man	246	16:00:00.227180
52	11	woman	194	16:00:00.227194
52	11	woman	327	16:00:00.227244
53	1	woman	166	16:04:07.119320
53	1	woman	200	16:04:07.119440
53	1	woman	338	16:04:07.119519
53	2	man	208	16:04:07.119544
53	2	man	150	16:04:07.119561
53	2	man	106	16:04:07.119577
54	1	woman	247	16:08:26.430184
54	1	woman	138	16:08:26.430305
54	1	woman	199	16:08:26.430332
54	1	woman	383	16:08:26.430404
54	2	woman	74	16:08:26.430428
54	2	woman	258	16:08:26.430447
54	3	woman	205	16:08:26.430465
54	3	woman	193	16:08:26.430479
54	3	woman	279	16:08:26.430508
55	1	man	222	16:13:16.497528
55	1	man	159	16:13:16.497659
55	1	man	110	16:13:16.497690
55	2	woman	253	16:13:16.497779
55	2	woman	135	16:13:16.497809
55	2	woman	200	16:13:16.497832
55	2	woman	352	16:13:16.497919
55	3	man	228	16:13:16.497950
55	3	man	247	16:13:16.497975
55	3	man	59	16:13:16.498050
55	4	woman	67	16:13:16.498077
55	4	woman	260	16:13:16.498100
55	5	man	237	16:13:16.498125
55	5	man	243	16:13:16.498145
55	5	man	6	16:13:16.498186
55	6	man	212	16:13:16.498212
55	6	man	248	16:13:16.498235
55	6	man	84	16:13:16.498275
55	7	man	234	16:13:16.498299
55	7	man	261	16:13:16.498320
55	8	man	211	16:13:16.498343
55	8	man	255	16:13:16.498363
55	8	man	7	16:13:16.498401
56	1	woman	148	16:50:40.757631
56	1	woman	157	16:50:40.757739
56	1	woman	385	16:50:40.757852
56	2	woman	239	16:50:40.757889
56	2	woman	254	16:50:40.757941
56	2	woman	391	16:50:40.757983
56	3	man	222	16:50:40.758010
56	3	man	156	16:50:40.758034
56	3	man	111	16:50:40.758055
56	4	woman	65	16:50:40.758095
56	4	woman	68	16:50:40.758115
57	1	man	237	16:58:45.159299
57	1	man	249	16:58:45.159418
57	1	man	5	16:58:45.159515
58	1	man	233	17:06:49.406702
58	1	man	254	17:06:49.406827
58	1	man	93	17:06:49.406913
58	2	man	214	17:06:49.406938
58	2	man	198	17:06:49.406956
58	2	man	59	17:06:49.406986
58	3	woman	158	17:06:49.407008
58	3	woman	197	17:06:49.407022
58	3	woman	340	17:06:49.407080
59	1	woman	236	17:33:24.591268
59	1	woman	244	17:33:24.591393
59	1	woman	393	17:33:24.591479
59	2	man	207	17:33:24.591506
59	2	man	154	17:33:24.591525
59	2	man	105	17:33:24.591555
60	1	woman	206	17:34:22.002156
60	1	woman	166	17:34:22.002248
60	1	woman	119	17:34:22.002304
60	2	man	181	17:34:22.002333
60	2	man	206	17:34:22.002346
60	2	man	6	17:34:22.002410
60	3	man	225	17:34:22.002432
60	3	man	251	17:34:22.002448
60	3	man	376	17:34:22.002498
60	4	man	234	17:34:22.002515
60	4	man	248	17:34:22.002529
60	4	man	92	17:34:22.002554
60	5	woman	156	17:34:22.002577
60	5	woman	144	17:34:22.002590
60	6	woman	208	17:34:22.002604
60	6	woman	168	17:34:22.002617
60	6	woman	125	17:34:22.002716
61	1	woman	172	17:35:21.017245
61	1	woman	55	17:35:21.017343
61	1	woman	140	17:35:21.017370
61	2	woman	115	17:35:21.017388
61	2	woman	282	17:35:21.017448
61	3	man	222	17:35:21.017466
61	3	man	246	17:35:21.017486
61	3	man	77	17:35:21.017499
61	4	man	235	17:35:21.017512
61	4	man	193	17:35:21.017526
61	4	man	19	17:35:21.017537
61	5	man	197	17:35:21.017550
61	5	man	30	17:35:21.017560
61	5	man	163	17:35:21.017573
62	1	woman	180	17:36:21.391937
62	1	woman	59	17:36:21.392040
62	1	woman	144	17:36:21.392084
62	2	woman	251	17:36:21.392159
62	2	woman	138	17:36:21.392279
62	2	woman	198	17:36:21.392327
62	2	woman	291	17:36:21.392435
62	3	man	233	17:36:21.392512
62	3	man	244	17:36:21.392587
62	3	man	28	17:36:21.392769
62	4	man	224	17:36:21.392826
62	4	man	255	17:36:21.392858
62	4	man	300	17:36:21.392898
62	5	man	224	17:36:21.392920
